DAILY_TMIN,DAILY_TMAX,DAILY_PREC,Code,Name,Comune,Provincia,Regione,Row,Col,Lat (WGS84),Lon (WGS84),X (WGS84 UTM32N),Y (WGS84 UTM32N),Height
6.977517836402853,16.520872739339637,4.374746971959516,1148,QUERCIOLA,LIZZANO IN BELVEDERE,BOLOGNA,EMILIA-ROMAGNA,12,28,"44,18250","10,898925",651778,4893897,"699,5"
9.225410652065705,18.22444831591173,2.4631574581051936,1305,SIBANO,VERGATO,BOLOGNA,EMILIA-ROMAGNA,15,32,"44,31750","11,151125",671543,4909388,"356,4"
9.150298656047784,17.87120457939273,2.5209059233449476,1306,GRIZZANA MORANDI,GRIZZANA MORANDI,BOLOGNA,EMILIA-ROMAGNA,14,32,"44,27250","11,151125",671674,4904390,"458,3"
9.678704164592666,18.70039820806371,2.4932470549195287,1345,MARZABOTTO SUD,MARZABOTTO,BOLOGNA,EMILIA-ROMAGNA,15,33,"44,31750","11,214175",676571,4909522,"333,1"
9.238161606105857,18.338924838227975,2.691065206570433,1346,RIOVEGGIO,MONZUNO,BOLOGNA,EMILIA-ROMAGNA,14,33,"44,27250","11,214175",676706,4904524,"386,5"
6.7943670150987225,17.081665837066534,3.608561473369836,1107,FANANO,FANANO,MODENA,EMILIA-ROMAGNA,13,27,"44,22750","10,835875",646627,4898780,"571,0"
6.381748797079808,14.864103202256512,4.644798407167745,1108,CHIESINA,LIZZANO IN BELVEDERE,BOLOGNA,EMILIA-ROMAGNA,12,27,"44,18250","10,835875",646738,4893782,"946,8"
5.332296333167413,11.954430064708811,5.270822963331675,1109,MADONNA DELL'ACERO,LIZZANO IN BELVEDERE,BOLOGNA,EMILIA-ROMAGNA,11,27,"44,13750","10,835875",646850,4888784,"1361,1"
4.939414302306288,11.107740169238427,4.969122283059566,1110,CORNO ALLE SCALE,SAN MARCELLO PISTOIESE,PISTOIA,TOSCANA,10,27,"44,09250","10,835875",646962,4883786,"1329,1"
6.595445495271279,14.711091753774681,5.09195287871246,1149,LIZZANO IN BELEVEDERE,PORRETTA TERME,BOLOGNA,EMILIA-ROMAGNA,11,28,"44,13750","10,898925",651893,4888898,"963,3"
